============================================================
  Generated by:           Encounter(R) RTL Compiler v10.10-s209_1
  Generated on:           Aug 05 2014  03:15:03 pm
  Module:                 enc_dec_wrapper
  Technology library:     CORE65LPSVT 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                               Leakage    Dynamic      Total    
        Instance        Cells Power(nW)  Power(nW)   Power(nW)  
----------------------------------------------------------------
enc_dec_wrapper          1563   639.529 6586229.616 6586869.145 
  decoder                1513   617.353 5138666.132 5139283.485 
    m2                     97    38.977  113565.463  113604.439 
      m1                   16     8.591   21465.294   21473.885 
      m3                   12     5.897   17484.894   17490.791 
      m2                   17     5.698   14948.682   14954.380 
      m0                   19     4.121   12678.250   12682.371 
      m5                   11     3.386    9721.305    9724.692 
      m4                   11     2.838    8785.209    8788.048 
    buf                    61    38.624 1081803.378 1081842.002 
    m1                     98    38.504   49559.187   49597.690 
      m1                   16     8.479   10579.333   10587.812 
      m2                   17     5.735    8137.417    8143.152 
      m3                   12     5.150    5756.576    5761.726 
      m0                   19     4.046    6963.794    6967.840 
      m4                   11     3.888    4763.254    4767.143 
      m5                   11     2.539    4355.228    4357.767 
    mc2                    98    36.186  118463.666  118499.852 
      m1                   16     7.617   23307.169   23314.787 
      m2                   15     5.293   14506.587   14511.880 
      m0                   19     4.866   16154.502   16159.368 
      m4                   11     3.918   10702.322   10706.240 
      m3                   10     3.180    9014.336    9017.516 
      m5                   11     2.255    8825.478    8827.733 
    count                 104    35.991  299754.684  299790.674 
      b1                   24     8.151   96458.981   96467.132 
      l1                   29     5.777   60623.338   60629.115 
      a1                    8     3.610   37675.578   37679.188 
      bufk_Ce               1     1.011   19913.271   19914.282 
      vdout11P              1     0.725   20533.979   20534.703 
      vDoutD                1     0.675   17708.609   17709.283 
      noFirstAfterReset     1     0.646   18395.216   18395.862 
      vdout1aDelay          1     0.621   18603.820   18604.441 
    m3                     94    34.532   88922.298   88956.830 
      m1                   12     5.149   11919.892   11925.041 
      m0                   19     4.555   11676.701   11681.256 
      m2                   16     4.461    9587.633    9592.095 
      m5                   11     4.401    9479.301    9483.701 
      m3                   12     4.396    8743.918    8748.313 
      m4                   12     3.626    9541.090    9544.715 
    mc1                    94    32.366   74865.757   74898.123 
      m2                   14     5.070   13120.080   13125.150 
      m5                   11     4.284    9279.606    9283.890 
      m1                   15     4.118    9883.975    9888.093 
      m0                   18     3.981   11587.580   11591.561 
      m4                   11     3.391    8602.822    8606.213 
      m3                   10     3.354    7277.558    7280.912 
    mc3                    96    32.281  105015.946  105048.227 
      m1                   16     5.625   15789.677   15795.302 
      m0                   19     4.268   15219.416   15223.684 
      m2                   13     4.232   11227.821   11232.052 
      m3                   10     3.808   10576.992   10580.800 
      m4                   11     3.139    9799.547    9802.686 
      m5                   11     2.274    9290.553    9292.827 
    mb3                    88    31.536   90958.737   90990.274 
      m2                   14     6.559   17956.454   17963.013 
      m1                   16     6.434   22961.988   22968.422 
      m0                   19     4.084   15261.727   15265.811 
      m3                   10     2.797   10100.287   10103.084 
      m4                   11     2.555    9654.349    9656.904 
      m5                   11     2.460   10974.804   10977.264 
    m0                     94    29.736   41156.253   41185.990 
      m2                   16     5.566    5769.392    5774.958 
      m3                   12     5.084    4826.555    4831.639 
      m0                   19     4.364    5665.564    5669.928 
      m1                   11     4.193    6066.588    6070.781 
      m4                   11     2.507    3574.158    3576.666 
      m5                   11     2.237    3306.678    3308.915 
    mb2                    90    28.657  120017.767  120046.424 
      m1                   16     6.113   30409.908   30416.021 
      m3                   12     5.359   21452.519   21457.878 
      m2                   15     4.133   18215.459   18219.592 
      m0                   17     3.995   20497.220   20501.215 
      m4                   11     2.785   11910.215   11913.000 
      m5                   11     2.516   13245.662   13248.178 
    mc0                    98    24.154   67329.144   67353.298 
      m1                   14     4.121    8929.967    8934.088 
      m2                   14     3.744   10424.420   10428.164 
      m4                   14     2.568    8001.380    8003.948 
      m0                   14     2.553    7802.560    7805.113 
      m3                   15     2.506    8160.898    8163.404 
      m5                   14     2.502    8293.182    8295.685 
    qdp                    30    12.511  156102.549  156115.060 
    c2                     20    12.305  181683.509  181695.815 
    c3                     20    11.923  178263.643  178275.566 
    msm                    13    10.377  257032.974  257043.352 
    b3                     20     9.191  117146.969  117156.160 
    c0                     20     9.051  127395.448  127404.499 
    c1                     10     8.757  129755.663  129764.420 
    b2                     20     7.504  117271.226  117278.729 
    s1                     24     7.486  115829.775  115837.261 
    sn2                     9     7.040  122937.657  122944.696 
    sn3                    10     6.851  120380.310  120387.161 
    s5                     19     6.762  118314.471  118321.233 
    xqdp                    6     6.379   27972.235   27978.614 
    s3                     17     6.047  115614.147  115620.194 
    sn1                    10     5.705  122686.886  122692.592 
    ch3                     9     5.616  124479.428  124485.044 
    cheg                   16     5.120   12002.205   12007.325 
    ch2                     8     5.058  125227.567  125232.625 
    cs2                     7     4.745   22158.449   22163.194 
    ch1                     7     4.742  121324.406  121329.148 
    cs3                     7     4.595   14903.386   14907.982 
    ch0                     6     4.392  120042.121  120046.513 
    sn0                     8     4.325  117625.283  117629.608 
    sn4                     6     4.254  123194.965  123199.219 
    ms1                     3     3.493    8890.987    8894.481 
    ms0                     3     3.490    8903.473    8906.964 
    ms3                     3     2.906    8291.293    8294.200 
    ms2                     3     2.902    8784.180    8787.082 
    ms4                     3     2.896    8190.245    8193.141 
    ms5                     3     2.337    7633.646    7635.983 
    xc1                     6     2.321    4472.801    4475.122 
    x3                      7     2.080    1515.769    1517.848 
    x1                      7     2.079    1911.294    1913.373 
    x2                      7     2.060    1362.648    1364.708 
    x0                      7     2.060    1248.549    1250.609 
  encoder                  45    19.245  598647.865  598667.109 
    r1                     21    11.543  431995.049  432006.592 
    c1                     19     6.400  130507.872  130514.272 

